ID,Year,roe,ta,cc,ffr,lf
ZION,2018,0.112,-0.08514775,0.061834403,0.972580645,0.101179986
ZION,2019,0.104,0.00790062,0.049918222,-0.723225806,0.01556497
ZION,2020,0.066,0.57560369,0.143210333,-1.460967742,-7.588985688
ZION,2021,0.141,0.17559228,0.071445957,-0.010322581,15.91849214
ASB,2004,0.165,0.06269718,0.05064302,1.171935484,1.065023483
ASB,2005,0.152,0.03770142,0.038972171,2.000967742,1.224294601
ASB,2006,0.14,0.02666631,0.032639133,1.080967742,0.671091796
ASB,2007,0.126,0.02634684,0.013461014,-0.993548387,-0.776062595
ASB,2008,0.066,0.92001516,0.067851275,-4.089354839,-10.79813249
ASB,2009,-0.056,-0.00158462,0.051538923,-0.037096774,-23.4155207
ASB,2010,-0.01,0.07526413,0.057877427,0.06516129,6.06811579
ASB,2011,0.039,0.18930096,0.085119028,-0.111612903,8.73132471
ASB,2012,0.059,0.00338707,0.081273135,0.092903226,4.94387983
ASB,2013,0.063,0.31913634,0.061679646,-0.079354839,7.899735023
ASB,2014,0.065,0.11914151,0.075446636,0.037419355,4.565764439
ASB,2015,0.063,-0.0023696,0.064467186,0.118064516,1.082028275
ASB,2016,0.066,-0.00585918,0.057874364,0.299354839,1.23973597
ASB,2017,0.072,-0.00303749,0.067805067,0.761612903,0.431470995
ASB,2018,0.091,-0.08514775,0.061834403,0.972580645,0.101179986
ASB,2019,0.086,0.00790062,0.049918222,-0.723225806,0.01556497
ASB,2020,0.079,0.57560369,0.143210333,-1.460967742,-7.588985688
ASB,2021,0.088,0.17559228,0.071445957,-0.010322581,15.91849214
UBSI,2004,0.156,0.06269718,0.05064302,1.171935484,1.065023483
UBSI,2005,0.158,0.03770142,0.038972171,2.000967742,1.224294601
UBSI,2006,0.14,0.02666631,0.032639133,1.080967742,0.671091796
UBSI,2007,0.13,0.02634684,0.013461014,-0.993548387,-0.776062595
UBSI,2008,0.114,0.92001516,0.067851275,-4.089354839,-10.79813249
UBSI,2009,0.089,-0.00158462,0.051538923,-0.037096774,-23.4155207
UBSI,2010,0.092,0.07526413,0.057877427,0.06516129,6.06811579
UBSI,2011,0.085,0.18930096,0.085119028,-0.111612903,8.73132471
UBSI,2012,0.084,0.00338707,0.081273135,0.092903226,4.94387983
UBSI,2013,0.084,0.31913634,0.061679646,-0.079354839,7.899735023
UBSI,2014,0.079,0.11914151,0.075446636,0.037419355,4.565764439
UBSI,2015,0.081,-0.0023696,0.064467186,0.118064516,1.082028275
UBSI,2016,0.073,-0.00585918,0.057874364,0.299354839,1.23973597
UBSI,2017,0.05,-0.00303749,0.067805067,0.761612903,0.431470995
UBSI,2018,0.079,-0.08514775,0.061834403,0.972580645,0.101179986
UBSI,2019,0.078,0.00790062,0.049918222,-0.723225806,0.01556497
UBSI,2020,0.072,0.57560369,0.143210333,-1.460967742,-7.588985688
UBSI,2021,0.082,0.17559228,0.071445957,-0.010322581,15.91849214
UCBI,2004,0.134,0.06269718,0.05064302,1.171935484,1.065023483
UCBI,2005,0.133,0.03770142,0.038972171,2.000967742,1.224294601
UCBI,2006,0.129,0.02666631,0.032639133,1.080967742,0.671091796
UCBI,2007,0.074,0.02634684,0.013461014,-0.993548387,-0.776062595
UCBI,2008,-0.073,0.92001516,0.067851275,-4.089354839,-10.79813249
UCBI,2009,-0.257,-0.00158462,0.051538923,-0.037096774,-23.4155207
UCBI,2010,-0.692,0.07526413,0.057877427,0.06516129,6.06811579
UCBI,2011,-0.407,0.18930096,0.085119028,-0.111612903,8.73132471
UCBI,2012,0.037,0.00338707,0.081273135,0.092903226,4.94387983
UCBI,2013,0.34,0.31913634,0.061679646,-0.079354839,7.899735023
UCBI,2014,0.093,0.11914151,0.075446636,0.037419355,4.565764439
