SL,ID,Year,roe,ta,cc,ffr,lf
5,ZION,2004,0.151,13.60352033,6.62459019,2.156129032,-1.955696159
5,ZION,2005,0.148,13.64122175,6.663562361,4.157096774,-0.731401558
5,ZION,2006,0.126,13.66788806,6.696201494,5.238064516,-0.060309762
5,ZION,2007,0.091,13.6942349,6.709662508,4.244516129,-0.836372357
5,ZION,2008,-0.051,14.61425006,6.777513783,0.15516129,-11.63450485
5,ZION,2009,-0.218,14.61266544,6.829052706,0.118064516,-35.05002555
5,ZION,2010,-0.065,14.68792957,6.886930133,0.183225806,-28.98190976
5,ZION,2011,0.022,14.87723053,6.972049161,0.071612903,-20.25058505
5,ZION,2012,0.029,14.8806176,7.053322296,0.164516129,-15.30670522
5,ZION,2013,0.045,15.19975394,7.115001942,0.08516129,-7.406970197
5,ZION,2014,0.047,15.31889545,7.190448578,0.122580645,-2.841205758
5,ZION,2015,0.033,15.31652585,7.254915764,0.240645161,-1.759177483
5,ZION,2016,0.054,15.31066667,7.312790128,0.54,-0.519441513
5,ZION,2017,0.071,15.30762918,7.380595195,1.301612903,-0.087970518
5,ZION,2018,0.112,15.22248143,7.442429598,2.274193548,0.013209468
5,ZION,2019,0.104,15.23038205,7.49234782,1.550967742,0.028774438
5,ZION,2020,0.066,15.80598574,7.635558153,0.09,-7.56021125
5,ZION,2021,0.141,15.98157802,7.70700411,0.079677419,8.358280893
6,ASB,2004,0.165,13.60352033,6.62459019,2.156129032,-1.955696159
6,ASB,2005,0.152,13.64122175,6.663562361,4.157096774,-0.731401558
6,ASB,2006,0.14,13.66788806,6.696201494,5.238064516,-0.060309762
6,ASB,2007,0.126,13.6942349,6.709662508,4.244516129,-0.836372357
6,ASB,2008,0.066,14.61425006,6.777513783,0.15516129,-11.63450485
6,ASB,2009,-0.056,14.61266544,6.829052706,0.118064516,-35.05002555
6,ASB,2010,-0.01,14.68792957,6.886930133,0.183225806,-28.98190976
6,ASB,2011,0.039,14.87723053,6.972049161,0.071612903,-20.25058505
6,ASB,2012,0.059,14.8806176,7.053322296,0.164516129,-15.30670522
6,ASB,2013,0.063,15.19975394,7.115001942,0.08516129,-7.406970197
6,ASB,2014,0.065,15.31889545,7.190448578,0.122580645,-2.841205758
6,ASB,2015,0.063,15.31652585,7.254915764,0.240645161,-1.759177483
6,ASB,2016,0.066,15.31066667,7.312790128,0.54,-0.519441513
6,ASB,2017,0.072,15.30762918,7.380595195,1.301612903,-0.087970518
6,ASB,2018,0.091,15.22248143,7.442429598,2.274193548,0.013209468
6,ASB,2019,0.086,15.23038205,7.49234782,1.550967742,0.028774438
6,ASB,2020,0.079,15.80598574,7.635558153,0.09,-7.56021125
6,ASB,2021,0.088,15.98157802,7.70700411,0.079677419,8.358280893
7,UBSI,2004,0.156,13.60352033,6.62459019,2.156129032,-1.955696159
7,UBSI,2005,0.158,13.64122175,6.663562361,4.157096774,-0.731401558
7,UBSI,2006,0.14,13.66788806,6.696201494,5.238064516,-0.060309762
7,UBSI,2007,0.13,13.6942349,6.709662508,4.244516129,-0.836372357
7,UBSI,2008,0.114,14.61425006,6.777513783,0.15516129,-11.63450485
7,UBSI,2009,0.089,14.61266544,6.829052706,0.118064516,-35.05002555
7,UBSI,2010,0.092,14.68792957,6.886930133,0.183225806,-28.98190976
7,UBSI,2011,0.085,14.87723053,6.972049161,0.071612903,-20.25058505
7,UBSI,2012,0.084,14.8806176,7.053322296,0.164516129,-15.30670522
7,UBSI,2013,0.084,15.19975394,7.115001942,0.08516129,-7.406970197
7,UBSI,2014,0.079,15.31889545,7.190448578,0.122580645,-2.841205758
7,UBSI,2015,0.081,15.31652585,7.254915764,0.240645161,-1.759177483
